Gene stable ID	Gene stable ID version	Mouse gene stable ID	Mouse gene name
ENSG00000206959	ENSG00000206959.1		
ENSG00000278592	ENSG00000278592.1		
ENSG00000200652	ENSG00000200652.1		
ENSG00000201168	ENSG00000201168.1		
ENSG00000263467	ENSG00000263467.1		
ENSG00000221345	ENSG00000221345.2		
ENSG00000199335	ENSG00000199335.1	ENSMUSG00000094820	Gm23805
ENSG00000206711	ENSG00000206711.1		
ENSG00000202095	ENSG00000202095.1	ENSMUSG00000064845	Gm26203
ENSG00000206760	ENSG00000206760.1	ENSMUSG00000065041	Gm24044
ENSG00000252341	ENSG00000252341.1	ENSMUSG00000084609	Gm22199
ENSG00000201301	ENSG00000201301.1		
ENSG00000252312	ENSG00000252312.1		
ENSG00000252634	ENSG00000252634.1		
ENSG00000252812	ENSG00000252812.1	ENSMUSG00000088176	Gm23094
ENSG00000221643	ENSG00000221643.1	ENSMUSG00000080364	Gm25777
ENSG00000252951	ENSG00000252951.1		
ENSG00000200816	ENSG00000200816.1	ENSMUSG00000064853	Gm23442
ENSG00000243770	ENSG00000243770.3		
ENSG00000243549	ENSG00000243549.3		
ENSG00000253031	ENSG00000253031.1		
ENSG00000201990	ENSG00000201990.1		
ENSG00000207371	ENSG00000207371.1		
ENSG00000252960	ENSG00000252960.1		
ENSG00000252866	ENSG00000252866.1		
ENSG00000251895	ENSG00000251895.1		
ENSG00000207158	ENSG00000207158.1		
ENSG00000206645	ENSG00000206645.1		
ENSG00000202417	ENSG00000202417.1		
ENSG00000283327	ENSG00000283327.1		
ENSG00000207970	ENSG00000207970.3		
ENSG00000284078	ENSG00000284078.1		
ENSG00000266738	ENSG00000266738.1		
ENSG00000207923	ENSG00000207923.1		
ENSG00000284568	ENSG00000284568.1		
ENSG00000264511	ENSG00000264511.1		
ENSG00000264371	ENSG00000264371.1		
ENSG00000266676	ENSG00000266676.1		
ENSG00000277923	ENSG00000277923.4		
ENSG00000276017	ENSG00000276017.1		
ENSG00000275917	ENSG00000275917.4		
ENSG00000222761	ENSG00000222761.1		
ENSG00000202254	ENSG00000202254.1		
ENSG00000200882	ENSG00000200882.1	ENSMUSG00000065791	Gm25516
ENSG00000200882	ENSG00000200882.1	ENSMUSG00000095052	Gm25672
ENSG00000200882	ENSG00000200882.1	ENSMUSG00000096310	Gm23523
ENSG00000252860	ENSG00000252860.1		
ENSG00000202471	ENSG00000202471.1		
ENSG00000253064	ENSG00000253064.1		
ENSG00000201210	ENSG00000201210.1		
ENSG00000276932	ENSG00000276932.1		
ENSG00000252581	ENSG00000252581.1	ENSMUSG00000096249	Gm24263
ENSG00000199584	ENSG00000199584.1		
ENSG00000252470	ENSG00000252470.1		
ENSG00000223280	ENSG00000223280.1		
ENSG00000252481	ENSG00000252481.1	ENSMUSG00000088505	Gm26489
ENSG00000252481	ENSG00000252481.1	ENSMUSG00000087847	Gm25624
ENSG00000252481	ENSG00000252481.1	ENSMUSG00000088789	Scarna13
ENSG00000275631	ENSG00000275631.1		
ENSG00000272197	ENSG00000272197.2		
ENSG00000201885	ENSG00000201885.1		
ENSG00000201432	ENSG00000201432.1		
ENSG00000200350	ENSG00000200350.1		
ENSG00000212479	ENSG00000212479.2		
ENSG00000242699	ENSG00000242699.3		
ENSG00000199349	ENSG00000199349.1		
ENSG00000244034	ENSG00000244034.3		
ENSG00000275420	ENSG00000275420.1		
ENSG00000238658	ENSG00000238658.1		
ENSG00000251967	ENSG00000251967.1	ENSMUSG00000105780	Snord80
ENSG00000200114	ENSG00000200114.1		
ENSG00000222649	ENSG00000222649.1		
ENSG00000207014	ENSG00000207014.1	ENSMUSG00000093929	Gm23862
ENSG00000207237	ENSG00000207237.1		
ENSG00000273770	ENSG00000273770.1		
ENSG00000238427	ENSG00000238427.1		
ENSG00000274059	ENSG00000274059.1	ENSMUSG00000065030	n-R5s160
ENSG00000251825	ENSG00000251825.1		
ENSG00000206805	ENSG00000206805.1		
ENSG00000200057	ENSG00000200057.1		
ENSG00000201302	ENSG00000201302.1	ENSMUSG00000064525	Gm26440
ENSG00000201302	ENSG00000201302.1	ENSMUSG00000065200	Gm24613
ENSG00000201302	ENSG00000201302.1	ENSMUSG00000077526	Gm25379
ENSG00000201302	ENSG00000201302.1	ENSMUSG00000064671	Gm22807
ENSG00000275904	ENSG00000275904.1		
ENSG00000206880	ENSG00000206880.1	ENSMUSG00000065333	Gm24928
ENSG00000252191	ENSG00000252191.1		
ENSG00000276568	ENSG00000276568.1		
ENSG00000242065	ENSG00000242065.3		
ENSG00000199480	ENSG00000199480.1		
ENSG00000199426	ENSG00000199426.1		
ENSG00000274396	ENSG00000274396.1		
ENSG00000200174	ENSG00000200174.1		
ENSG00000200291	ENSG00000200291.1		
ENSG00000199575	ENSG00000199575.1		
ENSG00000253081	ENSG00000253081.1		
ENSG00000251764	ENSG00000251764.1		
ENSG00000265707	ENSG00000265707.1		
ENSG00000223188	ENSG00000223188.1	ENSMUSG00000064527	Gm26438
ENSG00000261867	ENSG00000261867.1		
ENSG00000202434	ENSG00000202434.1	ENSMUSG00000088851	Gm24728
ENSG00000202434	ENSG00000202434.1	ENSMUSG00000064665	Gm24460
ENSG00000202434	ENSG00000202434.1	ENSMUSG00000064435	Gm25588
ENSG00000202434	ENSG00000202434.1	ENSMUSG00000065346	Gm25582
ENSG00000202434	ENSG00000202434.1	ENSMUSG00000089072	Gm24500
ENSG00000202434	ENSG00000202434.1	ENSMUSG00000065086	Gm26495
ENSG00000274350	ENSG00000274350.1		
ENSG00000276746	ENSG00000276746.1		
ENSG00000200305	ENSG00000200305.1		
ENSG00000206799	ENSG00000206799.1	ENSMUSG00000065847	Gm25188
ENSG00000206799	ENSG00000206799.1	ENSMUSG00000064471	Gm23406
ENSG00000206799	ENSG00000206799.1	ENSMUSG00000064811	Gm22358
ENSG00000212368	ENSG00000212368.1		
ENSG00000201987	ENSG00000201987.1		
ENSG00000252424	ENSG00000252424.1		
ENSG00000200792	ENSG00000200792.1		
ENSG00000276193	ENSG00000276193.1		
ENSG00000276640	ENSG00000276640.1		
ENSG00000276100	ENSG00000276100.1		
ENSG00000201666	ENSG00000201666.1		
ENSG00000222112	ENSG00000222112.1		
ENSG00000240927	ENSG00000240927.3		
ENSG00000212302	ENSG00000212302.1	ENSMUSG00000077527	Gm25506
ENSG00000241392	ENSG00000241392.3		
ENSG00000206620	ENSG00000206620.1	ENSMUSG00000065463	Snord45c
ENSG00000252317	ENSG00000252317.1		
ENSG00000275231	ENSG00000275231.1	ENSMUSG00000098526	Gm27366
ENSG00000199797	ENSG00000199797.1		
ENSG00000274978	ENSG00000274978.1		
ENSG00000252135	ENSG00000252135.1	ENSMUSG00000064802	Gm24036
ENSG00000252902	ENSG00000252902.1		
ENSG00000243870	ENSG00000243870.3		
ENSG00000251990	ENSG00000251990.1		
ENSG00000238723	ENSG00000238723.1		
ENSG00000222924	ENSG00000222924.1	ENSMUSG00000089009	Gm23858
ENSG00000222924	ENSG00000222924.1	ENSMUSG00000087766	Gm23982
ENSG00000201330	ENSG00000201330.1	ENSMUSG00000065219	Snord32a
ENSG00000252833	ENSG00000252833.1		
ENSG00000200150	ENSG00000200150.1		
ENSG00000202239	ENSG00000202239.1	ENSMUSG00000094785	Gm24661
ENSG00000277467	ENSG00000277467.1		
ENSG00000252292	ENSG00000252292.1	ENSMUSG00000089462	Gm23149
ENSG00000199836	ENSG00000199836.1	ENSMUSG00000065876	Gm25682
ENSG00000222561	ENSG00000222561.1	ENSMUSG00000088337	Gm22845
ENSG00000222561	ENSG00000222561.1	ENSMUSG00000077431	Gm22591
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000094815	Gm22615
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000065265	Gm23455
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000064792	Gm24355
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000064477	Gm23404
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000065644	Gm25859
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000064620	Gm22303
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000064511	Gm22459
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000065204	Gm24610
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000065262	Gm23451
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000065248	Gm22293
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000065360	Gm24412
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000064642	Gm23299
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000077517	Gm25876
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000098693	Gm27619
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000064814	Gm23939
ENSG00000201384	ENSG00000201384.1	ENSMUSG00000095111	Gm23713
ENSG00000275930	ENSG00000275930.1		
ENSG00000238529	ENSG00000238529.1	ENSMUSG00000084479	Gm26424
ENSG00000222532	ENSG00000222532.1		
ENSG00000278233	ENSG00000278233.1		
ENSG00000200761	ENSG00000200761.1		
ENSG00000253013	ENSG00000253013.1		
ENSG00000207004	ENSG00000207004.1		
ENSG00000278838	ENSG00000278838.1		
ENSG00000277889	ENSG00000277889.1		
ENSG00000212340	ENSG00000212340.1		
ENSG00000275472	ENSG00000275472.1		
ENSG00000201078	ENSG00000201078.1		
ENSG00000252682	ENSG00000252682.1	ENSMUSG00000093245	Gm50449
ENSG00000274860	ENSG00000274860.1		
ENSG00000199711	ENSG00000199711.1		
ENSG00000199878	ENSG00000199878.1		
ENSG00000264069	ENSG00000264069.3		
ENSG00000212316	ENSG00000212316.1		
ENSG00000284446	ENSG00000284446.1		
ENSG00000285609	ENSG00000285609.1		
ENSG00000274934	ENSG00000274934.1		
ENSG00000252680	ENSG00000252680.1		
ENSG00000272034	ENSG00000272034.1		
ENSG00000222604	ENSG00000222604.2	ENSMUSG00000099135	Gm27607
ENSG00000283320	ENSG00000283320.1		
ENSG00000252655	ENSG00000252655.1		
ENSG00000202056	ENSG00000202056.1		
ENSG00000263800	ENSG00000263800.1		
ENSG00000200225	ENSG00000200225.1		
ENSG00000223026	ENSG00000223026.1	ENSMUSG00000089118	Gm25902
ENSG00000238440	ENSG00000238440.1		
ENSG00000252881	ENSG00000252881.1		
ENSG00000207100	ENSG00000207100.1	ENSMUSG00000093277	Gm26236
ENSG00000207100	ENSG00000207100.1	ENSMUSG00000065226	Gm25791
ENSG00000206791	ENSG00000206791.1	ENSMUSG00000089342	Gm22666
ENSG00000201620	ENSG00000201620.1		
ENSG00000280554	ENSG00000280554.1	ENSMUSG00000064918	Gm22571
ENSG00000199894	ENSG00000199894.1	ENSMUSG00000077394	Gm24339
ENSG00000238431	ENSG00000238431.1		
ENSG00000244610	ENSG00000244610.3		
ENSG00000239039	ENSG00000239039.1		
ENSG00000240106	ENSG00000240106.2		
ENSG00000249784	ENSG00000249784.1		
ENSG00000201868	ENSG00000201868.1		
ENSG00000242482	ENSG00000242482.3		
ENSG00000206958	ENSG00000206958.1		
ENSG00000222589	ENSG00000222589.1		
ENSG00000275655	ENSG00000275655.1		
ENSG00000238912	ENSG00000238912.1		
ENSG00000243059	ENSG00000243059.3		
ENSG00000277995	ENSG00000277995.1		
ENSG00000274777	ENSG00000274777.1		
ENSG00000201818	ENSG00000201818.1		
ENSG00000206717	ENSG00000206717.1		
ENSG00000243066	ENSG00000243066.3		
ENSG00000278794	ENSG00000278794.1		
ENSG00000265663	ENSG00000265663.1		
ENSG00000276685	ENSG00000276685.1		
ENSG00000283369	ENSG00000283369.1		
ENSG00000238610	ENSG00000238610.1		
ENSG00000222225	ENSG00000222225.1		
ENSG00000243267	ENSG00000243267.3		
ENSG00000212526	ENSG00000212526.1	ENSMUSG00000088312	Gm26181
ENSG00000207195	ENSG00000207195.1	ENSMUSG00000065701	Rny1
ENSG00000200184	ENSG00000200184.1	ENSMUSG00000065389	Gm23100
ENSG00000200184	ENSG00000200184.1	ENSMUSG00000088692	Gm23838
ENSG00000252933	ENSG00000252933.1		
ENSG00000239221	ENSG00000239221.3		
ENSG00000200418	ENSG00000200418.1	ENSMUSG00000064880	Gm24201
ENSG00000212473	ENSG00000212473.1		
ENSG00000201640	ENSG00000201640.2		
ENSG00000265141	ENSG00000265141.2		
ENSG00000242688	ENSG00000242688.3		
ENSG00000200525	ENSG00000200525.1	ENSMUSG00000088804	Gm24076
ENSG00000276516	ENSG00000276516.1		
ENSG00000252800	ENSG00000252800.1		
ENSG00000276575	ENSG00000276575.1		
ENSG00000277411	ENSG00000277411.1	ENSMUSG00000092636	Gm26381
ENSG00000277411	ENSG00000277411.1	ENSMUSG00000084480	n-R5s155
ENSG00000277411	ENSG00000277411.1	ENSMUSG00000088342	Gm22340
ENSG00000238311	ENSG00000238311.1		
ENSG00000222546	ENSG00000222546.1		
ENSG00000207480	ENSG00000207480.1		
ENSG00000283522	ENSG00000283522.1		
ENSG00000201255	ENSG00000201255.1	ENSMUSG00000070173	Gm24164
ENSG00000222268	ENSG00000222268.1		
ENSG00000265520	ENSG00000265520.1		
ENSG00000200903	ENSG00000200903.1		
ENSG00000207027	ENSG00000207027.1		
ENSG00000277583	ENSG00000277583.1	ENSMUSG00000098567	Gm27762
ENSG00000277918	ENSG00000277918.1		
ENSG00000284135	ENSG00000284135.1		
ENSG00000200656	ENSG00000200656.1		
ENSG00000263876	ENSG00000263876.1		
ENSG00000238406	ENSG00000238406.1		
ENSG00000206850	ENSG00000206850.1		
ENSG00000264732	ENSG00000264732.1		
ENSG00000200883	ENSG00000200883.1		
ENSG00000201867	ENSG00000201867.1		
ENSG00000201160	ENSG00000201160.1		
ENSG00000199985	ENSG00000199985.1		
ENSG00000283275	ENSG00000283275.1		
ENSG00000207462	ENSG00000207462.1	ENSMUSG00000089081	Gm24002
ENSG00000273501	ENSG00000273501.1		
ENSG00000275213	ENSG00000275213.1		
ENSG00000199827	ENSG00000199827.1		
ENSG00000274864	ENSG00000274864.1		
ENSG00000283958	ENSG00000283958.1		
ENSG00000206635	ENSG00000206635.1	ENSMUSG00000064395	Gm23623
ENSG00000264092	ENSG00000264092.2		
ENSG00000252233	ENSG00000252233.1		
ENSG00000265921	ENSG00000265921.1		
ENSG00000244318	ENSG00000244318.3		
ENSG00000200495	ENSG00000200495.1		
ENSG00000201377	ENSG00000201377.1		
ENSG00000265321	ENSG00000265321.1		
ENSG00000251816	ENSG00000251816.1		
ENSG00000201869	ENSG00000201869.1		
ENSG00000212153	ENSG00000212153.1	ENSMUSG00000093660	Gm26505
ENSG00000199156	ENSG00000199156.1		
ENSG00000207351	ENSG00000207351.1		
ENSG00000277887	ENSG00000277887.1	ENSMUSG00000080540	Gm22711
ENSG00000238788	ENSG00000238788.1		
ENSG00000252552	ENSG00000252552.1		
ENSG00000222102	ENSG00000222102.1		
ENSG00000200332	ENSG00000200332.1		
ENSG00000199143	ENSG00000199143.1		
ENSG00000265957	ENSG00000265957.1		
ENSG00000199962	ENSG00000199962.1		
ENSG00000200475	ENSG00000200475.1		
ENSG00000287648	ENSG00000287648.1		
ENSG00000277049	ENSG00000277049.1		
ENSG00000222543	ENSG00000222543.1	ENSMUSG00000089348	Gm22669
ENSG00000206672	ENSG00000206672.1		
ENSG00000265248	ENSG00000265248.1		
ENSG00000252252	ENSG00000252252.1		
ENSG00000201723	ENSG00000201723.2		
ENSG00000242696	ENSG00000242696.3		
ENSG00000207761	ENSG00000207761.3		
ENSG00000200875	ENSG00000200875.1	ENSMUSG00000075760	Gm25414
ENSG00000207448	ENSG00000207448.1		
ENSG00000222148	ENSG00000222148.1		
ENSG00000206781	ENSG00000206781.1		
ENSG00000239579	ENSG00000239579.3		
ENSG00000284269	ENSG00000284269.1		
ENSG00000222598	ENSG00000222598.1	ENSMUSG00000064982	Gm25259
ENSG00000252810	ENSG00000252810.1		
ENSG00000201923	ENSG00000201923.1		
ENSG00000207037	ENSG00000207037.1		
ENSG00000283785	ENSG00000283785.1	ENSMUSG00000093007	Mir15a
ENSG00000273519	ENSG00000273519.1		
ENSG00000252257	ENSG00000252257.1	ENSMUSG00000088187	Gm50110
ENSG00000273764	ENSG00000273764.1		
ENSG00000202310	ENSG00000202310.1		
ENSG00000262656	ENSG00000262656.1		
ENSG00000251898	ENSG00000251898.1	ENSMUSG00000088208	Gm23751
ENSG00000276102	ENSG00000276102.1		
ENSG00000252346	ENSG00000252346.1		
ENSG00000264056	ENSG00000264056.1		
ENSG00000253077	ENSG00000253077.1		
ENSG00000207233	ENSG00000207233.1	ENSMUSG00000065259	Snora30
ENSG00000207233	ENSG00000207233.1	ENSMUSG00000064581	Gm25133
ENSG00000264720	ENSG00000264720.3		
ENSG00000264474	ENSG00000264474.1		
ENSG00000263841	ENSG00000263841.2		
ENSG00000221033	ENSG00000221033.1		
ENSG00000244544	ENSG00000244544.2		
ENSG00000240183	ENSG00000240183.3		
ENSG00000208036	ENSG00000208036.1	ENSMUSG00000065514	Mir106b
ENSG00000201992	ENSG00000201992.1		
ENSG00000281910	ENSG00000281910.1	ENSMUSG00000065211	Gm26265
ENSG00000215930	ENSG00000215930.1		
ENSG00000265810	ENSG00000265810.1		
ENSG00000275391	ENSG00000275391.1		
ENSG00000202039	ENSG00000202039.1		
ENSG00000266467	ENSG00000266467.2		
ENSG00000265753	ENSG00000265753.2		
ENSG00000200822	ENSG00000200822.1		
ENSG00000207641	ENSG00000207641.1		
ENSG00000265831	ENSG00000265831.1		
ENSG00000266758	ENSG00000266758.1		
ENSG00000200448	ENSG00000200448.1		
ENSG00000206693	ENSG00000206693.1		
ENSG00000274171	ENSG00000274171.1		
ENSG00000264800	ENSG00000264800.1		
ENSG00000278296	ENSG00000278296.1		
ENSG00000278598	ENSG00000278598.1		
ENSG00000200480	ENSG00000200480.1	ENSMUSG00000084604	Gm22205
ENSG00000206802	ENSG00000206802.1	ENSMUSG00000065309	Gm23244
ENSG00000206802	ENSG00000206802.1	ENSMUSG00000096559	Gm23567
ENSG00000202408	ENSG00000202408.2	ENSMUSG00000065191	Gm23458
ENSG00000284293	ENSG00000284293.1		
ENSG00000284038	ENSG00000284038.1	ENSMUSG00000065519	Mir10a
ENSG00000212327	ENSG00000212327.1	ENSMUSG00000088644	Gm26485
ENSG00000243352	ENSG00000243352.3		
ENSG00000278704	ENSG00000278704.1		
ENSG00000251712	ENSG00000251712.3		
ENSG00000276396	ENSG00000276396.1		
ENSG00000264295	ENSG00000264295.1		
ENSG00000274713	ENSG00000274713.1		
ENSG00000264910	ENSG00000264910.2		
ENSG00000253067	ENSG00000253067.1	ENSMUSG00000093443	Gm22871
ENSG00000238645	ENSG00000238645.1		
ENSG00000278757	ENSG00000278757.1		
ENSG00000275726	ENSG00000275726.1		
ENSG00000207247	ENSG00000207247.1		
ENSG00000216179	ENSG00000216179.1	ENSMUSG00000076052	Mir541
ENSG00000199567	ENSG00000199567.1		
ENSG00000277551	ENSG00000277551.1		
ENSG00000255851	ENSG00000255851.2		
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094561	Ighv1-22
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095923	Ighv1-37
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000093955	Ighv1-34
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095416	Ighv1-12
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094862	Ighv1-56
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094124	Ighv1-74
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000076710	Ighv1-49
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095589	Ighv1-55
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000103254	Ighv1-15
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095127	Ighv1-82
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094689	Ighv1-81
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094502	Ighv1-69
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094694	Ighv1-9
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000096078	Ighv1-62-2
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095583	Ighv14-2
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095554	Ighv1-16
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095200	Ighv1-7
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095130	Ighv1-39
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000096499	Ighv1-5
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000102888	Ighv1-11
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000093894	Ighv1-53
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094241	Ighv1-24
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094509	Ighv14-1
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094088	Ighv1-64
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094075	Ighv1-80
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094051	Ighv1-36
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095889	Ighv1-58
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000096649	Ighv1-31
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000096577	Ighv1-71
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000096452	Ighv1-77
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095197	Ighv1-59
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095519	Ighv1-66
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094546	Ighv1-26
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000096672	Ighv1-63
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094198	Ighv1-50
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000076688	Ighv15-2
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000076709	Ighv1-47
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095863	Ighv1-67
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094652	Ighv1-42
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000096074	Ighv1-72
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000096767	Ighv1-62-3
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000103290	Ighv1-23
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095642	Ighv14-3
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000096150	Ighv1-85
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094940	Ighv1-84
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095442	Ighv1-4
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000096326	Ighv1-78
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000076695	Ighv1-18
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095204	Ighv1-52
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000076666	Ighv14-4
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094087	Ighv1-61
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000094787	Ighv1-54
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095761	Ighv1-20
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000096410	Ighv1-19
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000093896	Ighv1-76
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000096020	Ighv1-75
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000102313	Ighv1-62-1
ENSG00000278782	ENSG00000278782.1	ENSMUSG00000095859	Ighv1-43
ENSG00000212466	ENSG00000212466.1		
ENSG00000283759	ENSG00000283759.1		
ENSG00000266063	ENSG00000266063.1		
ENSG00000207702	ENSG00000207702.1		
ENSG00000253038	ENSG00000253038.1		
ENSG00000206815	ENSG00000206815.1		
ENSG00000206795	ENSG00000206795.1		
ENSG00000241613	ENSG00000241613.3		
ENSG00000264397	ENSG00000264397.1		
ENSG00000223335	ENSG00000223335.1	ENSMUSG00000065591	Gm22753
ENSG00000202532	ENSG00000202532.1		
ENSG00000278159	ENSG00000278159.1		
ENSG00000199783	ENSG00000199783.1		
ENSG00000199362	ENSG00000199362.1		
ENSG00000212342	ENSG00000212342.1		
ENSG00000266232	ENSG00000266232.1		
ENSG00000263608	ENSG00000263608.2		
ENSG00000266151	ENSG00000266151.1		
ENSG00000241964	ENSG00000241964.3		
ENSG00000283414	ENSG00000283414.1		
ENSG00000284368	ENSG00000284368.1		
ENSG00000240173	ENSG00000240173.3		
ENSG00000277872	ENSG00000277872.1		
ENSG00000241943	ENSG00000241943.2		
ENSG00000277903	ENSG00000277903.1		
ENSG00000241229	ENSG00000241229.3		
ENSG00000252887	ENSG00000252887.1		
ENSG00000265595	ENSG00000265595.1		
ENSG00000251998	ENSG00000251998.1		
ENSG00000283498	ENSG00000283498.1		
ENSG00000275696	ENSG00000275696.1		
ENSG00000277379	ENSG00000277379.1		
ENSG00000201618	ENSG00000201618.1		
ENSG00000264556	ENSG00000264556.1		
ENSG00000201830	ENSG00000201830.1		
