Gene	Symbol|Child_inf_vs_control	Mouse.gene.name|Mouse_FOOTDay2inf_vs_control	logFC|Adult_inf_vs_control	logFC|Child_inf_vs_control	logFC|Mouse_LNDay2inf_vs_control	logFC|Mouse_FOOTDay2inf_vs_control	FDR|Adult_inf_vs_control	FDR|Child_inf_vs_control	FDR|Mouse_LNDay2inf_vs_control	FDR|Mouse_FOOTDay2inf_vs_control	-logPFDR|Adult_inf_vs_control	-logPFDR|Child_inf_vs_control	-logPFDR|Mouse_LNDay2inf_vs_control	-logPFDR|Mouse_FOOTDay2inf_vs_control	DEG|Adult_inf_vs_control	DEG|Child_inf_vs_control	DEG|Mouse_LNDay2inf_vs_control	DEG|Mouse_FOOTDay2inf_vs_control	Number_UP	Number_DOWN
ENSG00000144645	OSBPL10	Osbpl10	-2.1243	-1.5722	-1.3115	0.3123	0.0000	0.0000	0.0000	0.1266	12.7077	27.8508	4.8861	0.8974	DOWN	DOWN	DOWN	NO	0	3
ENSG00000151746	BICD1	Bicd1	-1.0913	-1.0918	-1.3819	-0.3810	0.0000	0.0000	0.0008	0.3126	7.1361	28.4989	3.1044	0.5050	DOWN	DOWN	DOWN	NO	0	3
ENSG00000168329	CX3CR1	Cx3cr1	-1.7564	0.1338	-1.3888	-1.8416	0.0000	0.2230	0.0000	0.0000	4.6021	0.6517	6.8601	7.4498	DOWN	NO	DOWN	DOWN	0	3
ENSG00000008277	ADAM22	Adam22	-1.2748	-0.9884	-1.4052	-1.5018	0.0000	0.0000	0.0000	0.0000	6.7328	22.9318	7.0737	7.6021	DOWN	NO	DOWN	DOWN	0	3
ENSG00000157734	SNX22	Snx22	-1.0320	-1.3188	-1.4392	0.1744	0.0000	0.0000	0.0000	0.2963	4.4881	11.3188	9.3458	0.5282	DOWN	DOWN	DOWN	NO	0	3
ENSG00000119943	PYROXD2	Pyroxd2	-1.7357	-0.1571	-1.5537	-1.8523	0.0000	0.2383	0.0000	0.0000	12.0026	0.6229	6.4724	7.2240	DOWN	NO	DOWN	DOWN	0	3
ENSG00000174080	CTSF	Ctsf	-1.9641	-1.3989	-1.6516	-0.4129	0.0000	0.0000	0.0000	0.0066	8.5544	9.0655	7.2291	2.1813	DOWN	DOWN	DOWN	NO	0	3
ENSG00000048462	TNFRSF17	Tnfrsf17	-1.7357	-0.6996	-1.6822	-1.7481	0.0001	0.0001	0.0002	0.0002	4.2749	4.1090	3.6745	3.6683	DOWN	NO	DOWN	DOWN	0	3
ENSG00000163751	CPA3	Cpa3	-2.9280	-1.8382	-1.7866	-0.5564	0.0000	0.0000	0.0000	0.0001	12.2848	21.4672	9.1215	4.2573	DOWN	DOWN	DOWN	NO	0	3
ENSG00000173114	LRRN3	Lrrn3	-3.5544	-2.0059	-1.7954	-0.0670	0.0000	0.0000	0.0000	0.7912	13.5901	28.2924	5.2503	0.1017	DOWN	DOWN	DOWN	NO	0	3
ENSG00000150625	GPM6A	Gpm6a	-1.4686	-1.0318	-1.9154	-0.1924	0.0003	0.0000	0.0000	0.2637	3.5153	8.5591	8.2807	0.5790	DOWN	DOWN	DOWN	NO	0	3
ENSG00000169507	SLC38A11	Slc38a11	-1.4061	-1.0546	-1.9925	-0.8661	0.0008	0.0000	0.0005	0.0126	3.0815	7.4737	3.2734	1.8981	DOWN	DOWN	DOWN	NO	0	3
ENSG00000174500	GCSAM	Gcsam	-2.8670	-1.1933	-2.2758	-0.8843	0.0000	0.0000	0.0000	0.0026	15.9586	25.5918	9.2950	2.5776	DOWN	DOWN	DOWN	NO	0	3
ENSG00000184221	OLIG1	Olig1	-1.5008	-1.3957	-2.5704	-1.7822	0.0000	0.0000	0.0202	0.0003	4.4522	9.3958	1.6947	3.5443	DOWN	DOWN	NO	DOWN	0	3
ENSG00000100473	COCH	Coch	-1.7570	-1.6616	3.0745	1.3320	0.0000	0.0000	0.0000	0.0000	9.0501	25.4449	10.7399	7.7375	DOWN	DOWN	UP	UP	2	2
ENSG00000136160	EDNRB	Ednrb	3.5714	1.2625	-1.0238	-1.8277	0.0000	0.0000	0.0000	0.0000	9.2358	10.0575	7.2765	12.0128	UP	UP	DOWN	DOWN	2	2
ENSG00000171631	P2RY6	P2ry6	2.0742	2.2854	-1.4092	-1.2099	0.0000	0.0000	0.0000	0.0000	5.7375	11.6635	8.0334	7.2396	UP	UP	DOWN	DOWN	2	2
ENSG00000177575	CD163	Cd163	2.2398	1.0642	-1.7069	-2.6486	0.0000	0.0000	0.0000	0.0000	5.4622	17.4318	5.7520	11.0814	UP	UP	DOWN	DOWN	2	2
ENSG00000197635	DPP4	Dpp4	-2.6478	-1.3241	1.1073	-0.3883	0.0000	0.0000	0.0000	0.0001	13.7852	36.4895	11.2226	3.9208	DOWN	DOWN	UP	NO	1	2
ENSG00000213809	KLRK1	Klrk1	-1.0824	-1.2077	0.7664	2.4700	0.0002	0.0000	0.0000	0.0000	3.7844	19.6144	4.4572	9.1079	DOWN	DOWN	NO	UP	1	2
ENSG00000133800	LYVE1	Lyve1	-1.3177	1.1851	0.6341	-1.1756	0.0003	0.0000	0.0000	0.0000	3.5967	11.4685	5.2434	8.7986	DOWN	UP	NO	DOWN	1	2
ENSG00000126353	CCR7	Ccr7	-2.1731	-1.0771	0.3739	2.8408	0.0000	0.0000	0.0002	0.0000	10.1952	11.4461	3.6038	11.7282	DOWN	DOWN	NO	UP	1	2
ENSG00000182866	LCK	Lck	-2.1891	-1.1087	0.1647	1.6153	0.0000	0.0000	0.1685	0.0000	13.2993	17.1938	0.7735	4.4157	DOWN	DOWN	NO	UP	1	2
ENSG00000102445	RUBCNL	Rubcnl	-1.3314	-1.0491	0.1533	1.7051	0.0000	0.0000	0.1408	0.0000	7.0526	34.3915	0.8515	7.1675	DOWN	DOWN	NO	UP	1	2
ENSG00000169116	PARM1	Parm1	-1.3955	-1.0666	-0.2157	1.0120	0.0001	0.0000	0.1072	0.0000	4.1349	14.1624	0.9699	5.5186	DOWN	DOWN	NO	UP	1	2
ENSG00000148357	HMCN2	Hmcn2	3.0403	-0.0927	-1.0125	-1.6811	0.0000	0.8481	0.0002	0.0000	7.0306	0.0716	3.7287	8.3478	UP	NO	DOWN	DOWN	1	2
ENSG00000141338	ABCA8	Abca8b	2.1305	0.7654	-1.0180	-1.5113	0.0004	0.0001	0.0008	0.0000	3.4551	4.0931	3.1164	7.2218	UP	NO	DOWN	DOWN	1	2
ENSG00000148053	NTRK2	Ntrk2	2.3040	0.5829	-1.0746	-1.1421	0.0000	0.0122	0.0000	0.0000	5.5452	1.9122	6.4510	7.3872	UP	NO	DOWN	DOWN	1	2
ENSG00000187955	COL14A1	Col14a1	2.9249	0.5289	-1.1153	-1.0348	0.0000	0.0133	0.0000	0.0000	5.5817	1.8765	4.9788	5.9957	UP	NO	DOWN	DOWN	1	2
ENSG00000163235	TGFA	Tgfa	-1.6171	1.3097	-1.1767	0.0608	0.0002	0.0000	0.0000	0.6682	3.7741	27.7077	7.7959	0.1751	DOWN	UP	DOWN	NO	1	2
ENSG00000153707	PTPRD	Ptprd	2.6488	0.6223	-1.2110	-1.0351	0.0000	0.0021	0.0000	0.0000	5.7520	2.6746	6.5850	7.1035	UP	NO	DOWN	DOWN	1	2
ENSG00000258986	TMEM179	Tmem179	2.7001	0.4483	-1.2913	-2.3647	0.0000	0.2622	0.0004	0.0002	4.6073	0.5814	3.3871	3.7236	UP	NO	DOWN	DOWN	1	2
ENSG00000151388	ADAMTS12	Adamts12	2.8200	0.7233	-1.3112	-1.1295	0.0000	0.0058	0.0000	0.0000	5.4647	2.2368	7.7328	6.5157	UP	NO	DOWN	DOWN	1	2
ENSG00000218336	TENM3	Tenm3	2.9294	0.5884	-1.4979	-1.0523	0.0000	0.0124	0.0000	0.0000	5.1007	1.9050	8.7620	7.4473	UP	NO	DOWN	DOWN	1	2
ENSG00000120820	GLT8D2	Glt8d2	0.0246	1.0306	-1.6570	-1.4943	0.9391	0.0002	0.0000	0.0000	0.0273	3.8089	5.9281	7.8697	NO	UP	DOWN	DOWN	1	2
ENSG00000180871	CXCR2	Cxcr2	-1.1409	1.6143	-1.7049	0.9747	0.0008	0.0000	0.0000	0.0030	3.1070	37.0074	6.7077	2.5262	DOWN	UP	DOWN	NO	1	2
ENSG00000143502	SUSD4	Susd4	-0.6630	-1.3981	-1.7107	1.6834	0.0429	0.0000	0.0001	0.0000	1.3677	12.0000	4.0052	8.0026	NO	DOWN	DOWN	UP	1	2
ENSG00000134765	DSC1	Dsc1	-3.4662	-2.1028	2.4141	-0.5155	0.0000	0.0000	0.2057	0.0004	13.1778	24.6757	0.6868	3.3523	DOWN	DOWN	NO	NO	0	2
ENSG00000113088	GZMK	Gzmk	-2.6692	-1.3798	1.3061	0.6081	0.0000	0.0000	0.0322	0.7782	14.4353	28.0438	1.4925	0.1089	DOWN	DOWN	NO	NO	0	2
ENSG00000132932	ATP8A2	Atp8a2	-1.1549	-1.1777	1.1702	0.7539	0.0007	0.0000	0.0156	0.0443	3.1483	16.5243	1.8077	1.3537	DOWN	DOWN	NO	NO	0	2
ENSG00000128040	SPINK2	Spink2	-1.9603	-1.2406	0.9762	-0.5283	0.0000	0.0000	0.6922	0.4959	5.1180	6.3468	0.1598	0.3046	DOWN	DOWN	NO	NO	0	2
ENSG00000149311	ATM	Atm	-1.8297	-1.1002	0.9245	0.5599	0.0000	0.0000	0.0000	0.0000	16.2007	48.1778	8.6402	4.9872	DOWN	DOWN	NO	NO	0	2
ENSG00000115687	PASK	Pask	-1.1693	-1.3522	0.7036	-0.7170	0.0000	0.0000	0.0013	0.0006	4.6778	19.7799	2.8763	3.2565	DOWN	DOWN	NO	NO	0	2
ENSG00000197275	RAD54B	Rad54b	-1.0555	-1.3538	0.6987	-0.3509	0.0001	0.0000	0.0006	0.0742	4.2269	25.3645	3.2269	1.1293	DOWN	DOWN	NO	NO	0	2
ENSG00000265817	FSBP	Rad54b	-1.5143	-1.6715	0.6987	-0.3509	0.0000	0.0000	0.0006	0.0742	4.7305	22.6253	3.2269	1.1293	DOWN	DOWN	NO	NO	0	2
ENSG00000132849	PATJ	Patj	-1.8724	-1.2722	0.6816	-0.0379	0.0000	0.0000	0.0000	0.7815	12.5498	35.6840	6.0947	0.1070	DOWN	DOWN	NO	NO	0	2
ENSG00000117322	CR2	Cr2	-3.0375	-1.5190	0.5983	-0.7309	0.0000	0.0000	0.0000	0.3936	16.3872	23.6308	4.6073	0.4050	DOWN	DOWN	NO	NO	0	2
ENSG00000188822	CNR2	Cnr2	-1.8209	-1.2775	0.5796	-0.1309	0.0000	0.0000	0.0000	0.5098	8.2652	20.5784	5.7747	0.2926	DOWN	DOWN	NO	NO	0	2
ENSG00000163534	FCRL1	Fcrl1	-2.2180	-1.4068	0.5604	0.3174	0.0000	0.0000	0.0000	0.4335	8.9172	26.2510	7.8097	0.3630	DOWN	DOWN	NO	NO	0	2
ENSG00000135525	MAP7	Map7	-1.5279	-1.1700	0.5134	-0.0503	0.0000	0.0000	0.0000	0.6293	7.5622	18.2628	4.3830	0.2012	DOWN	DOWN	NO	NO	0	2
ENSG00000012124	CD22	Cd22	-1.2465	-1.2273	0.4930	-0.1406	0.0000	0.0000	0.0000	0.5653	5.1385	13.9957	5.0511	0.2478	DOWN	DOWN	NO	NO	0	2
ENSG00000156398	SFXN2	Sfxn2	-1.2115	-1.0383	0.4791	0.3775	0.0000	0.0000	0.0003	0.0023	5.5768	14.4123	3.5979	2.6424	DOWN	DOWN	NO	NO	0	2
ENSG00000156738	MS4A1	Ms4a1	-2.3099	-1.0108	0.4642	-0.6422	0.0000	0.0000	0.0000	0.0051	12.0501	13.1319	4.8508	2.2893	DOWN	DOWN	NO	NO	0	2
ENSG00000164649	CDCA7L	Cdca7l	-1.7268	-1.0962	0.4253	-0.1169	0.0000	0.0000	0.0010	0.3215	10.5751	22.0841	3.0121	0.4928	DOWN	DOWN	NO	NO	0	2
ENSG00000082512	TRAF5	Traf5	-1.6734	-1.1253	0.4182	0.3056	0.0000	0.0000	0.0008	0.0536	13.6440	30.4763	3.0879	1.2712	DOWN	DOWN	NO	NO	0	2
ENSG00000162894	FCMR	Fcmr	-2.6069	-1.0774	0.4113	-0.5082	0.0000	0.0000	0.0001	0.1236	13.3595	19.9788	4.1018	0.9079	DOWN	DOWN	NO	NO	0	2
ENSG00000141576	RNF157	Rnf157	-1.7921	-1.0274	0.4021	-0.6076	0.0000	0.0000	0.0010	0.0003	9.1911	11.4089	3.0172	3.5386	DOWN	DOWN	NO	NO	0	2
ENSG00000141040	ZNF287	Zfp287	-2.3379	-1.1025	0.3984	-0.0312	0.0000	0.0000	0.0027	0.8895	12.9666	30.5287	2.5699	0.0509	DOWN	DOWN	NO	NO	0	2
ENSG00000204252	HLA-DOA	H2-Oa	-2.0965	-1.1418	0.3950	-0.0020	0.0000	0.0000	0.0484	1.0000	9.5918	14.1007	1.3149	0.0000	DOWN	DOWN	NO	NO	0	2
ENSG00000055163	CYFIP2	Cyfip2	-1.2041	-1.0068	0.3809	0.1100	0.0000	0.0000	0.0002	0.3333	7.8539	34.4225	3.8217	0.4772	DOWN	DOWN	NO	NO	0	2
ENSG00000183918	SH2D1A	Sh2d1a	-1.2879	-1.3207	0.3493	-0.4386	0.0000	0.0000	0.0224	0.7194	9.7670	35.9245	1.6492	0.1430	DOWN	DOWN	NO	NO	0	2
ENSG00000167286	CD3D	Cd3d	-1.4211	-1.1382	0.3485	-0.0738	0.0000	0.0000	0.0025	0.9009	8.9788	21.0550	2.5984	0.0453	DOWN	DOWN	NO	NO	0	2
ENSG00000145687	SSBP2	Ssbp2	-1.2780	-1.0823	0.3471	-0.1189	0.0000	0.0000	0.0017	0.2004	13.4498	43.4698	2.7805	0.6981	DOWN	DOWN	NO	NO	0	2
ENSG00000186468	RPS23	Rps23	-1.0455	-1.6419	0.3270	-0.1091	0.0000	0.0000	0.0001	0.1601	6.3449	56.1599	3.8496	0.7957	DOWN	DOWN	NO	NO	0	2
ENSG00000159618	ADGRG5	Adgrg5	-1.7367	-1.2175	0.3240	0.7972	0.0000	0.0000	0.0041	0.0041	8.8386	10.5719	2.3825	2.3826	DOWN	DOWN	NO	NO	0	2
ENSG00000089009	RPL6	Rpl6	-1.1786	-1.1349	0.3109	-0.1857	0.0000	0.0000	0.0002	0.0134	10.2487	50.0283	3.8092	1.8740	DOWN	DOWN	NO	NO	0	2
ENSG00000127334	DYRK2	Dyrk2	-1.1349	-1.2481	0.2905	0.1723	0.0000	0.0000	0.0006	0.0382	9.5969	45.0768	3.1889	1.4177	DOWN	DOWN	NO	NO	0	2
ENSG00000167526	RPL13	Rpl13	-1.0299	-1.2112	0.2886	-0.1645	0.0000	0.0000	0.0021	0.0680	8.7670	18.5834	2.6758	1.1675	DOWN	DOWN	NO	NO	0	2
ENSG00000076554	TPD52	Tpd52	-1.4475	-1.0250	0.2836	0.1987	0.0000	0.0000	0.0004	0.0075	10.8125	22.7282	3.3958	2.1232	DOWN	DOWN	NO	NO	0	2
ENSG00000160654	CD3G	Cd3g	-1.7285	-1.1178	0.2827	-0.1792	0.0000	0.0000	0.0186	0.6000	9.8570	28.2676	1.7301	0.2218	DOWN	DOWN	NO	NO	0	2
ENSG00000157168	NRG1	Nrg1	-1.2083	-2.3691	0.2738	0.3067	0.0000	0.0000	0.5849	0.4335	5.3615	20.9872	0.2329	0.3630	DOWN	DOWN	NO	NO	0	2
ENSG00000100316	RPL3	Rpl3	-1.2072	-1.4335	0.2536	-0.4549	0.0000	0.0000	0.0002	0.0000	7.5834	27.3830	3.7339	6.6968	DOWN	DOWN	NO	NO	0	2
ENSG00000178035	IMPDH2	Impdh2	-1.6897	-1.0533	0.2498	0.0100	0.0000	0.0000	0.0188	0.9487	14.0630	9.8928	1.7263	0.0229	DOWN	DOWN	NO	NO	0	2
ENSG00000137154	RPS6	Rps6	-1.0144	-1.3598	0.2475	-0.1411	0.0000	0.0000	0.0006	0.0369	6.6904	39.0675	3.2048	1.4332	DOWN	DOWN	NO	NO	0	2
ENSG00000107679	PLEKHA1	Plekha1	-1.1471	-1.1614	0.2255	0.0565	0.0000	0.0000	0.0011	0.3949	8.7212	40.1198	2.9521	0.4035	DOWN	DOWN	NO	NO	0	2
ENSG00000111796	KLRB1	Klrb1f	-1.4326	-1.5253	0.2173	0.2810	0.0000	0.0000	0.4005	0.4912	7.6421	29.2573	0.3974	0.3087	DOWN	DOWN	NO	NO	0	2
ENSG00000163964	PIGX	Pigx	-1.9546	-1.0668	0.2097	-0.1486	0.0000	0.0000	0.0557	0.2043	12.0545	28.9172	1.2538	0.6898	DOWN	DOWN	NO	NO	0	2
ENSG00000162373	BEND5	Bend5	-1.3103	-1.1436	0.2042	-0.1087	0.0001	0.0000	0.1870	0.7049	4.2104	10.8041	0.7282	0.1519	DOWN	DOWN	NO	NO	0	2
ENSG00000089012	SIRPG	Sirpa	-2.3688	-1.1679	0.2027	-0.0233	0.0000	0.0000	0.0356	0.8445	7.8827	8.1221	1.4482	0.0734	DOWN	DOWN	NO	NO	0	2
ENSG00000105202	FBL	Fbl	-1.1573	-1.0593	0.2023	-0.0725	0.0000	0.0000	0.1271	0.6299	7.7375	11.4535	0.8960	0.2007	DOWN	DOWN	NO	NO	0	2
ENSG00000138795	LEF1	Lef1	-2.1481	-1.3831	0.1994	0.0840	0.0000	0.0000	0.0586	0.7243	11.0991	27.6635	1.2324	0.1401	DOWN	DOWN	NO	NO	0	2
ENSG00000099204	ABLIM1	Ablim1	-1.4025	-1.3018	0.1793	-0.5251	0.0000	0.0000	0.0141	0.0000	7.7033	30.8477	1.8505	6.3969	DOWN	DOWN	NO	NO	0	2
ENSG00000033867	SLC4A7	Slc4a7	-1.4005	-1.1551	0.1753	0.0826	0.0000	0.0000	0.0534	0.4544	10.9393	39.3010	1.2725	0.3426	DOWN	DOWN	NO	NO	0	2
ENSG00000112182	BACH2	Bach2	-1.5383	-1.4960	0.1610	-0.0803	0.0000	0.0000	0.0270	0.5009	6.0381	34.3799	1.5690	0.3002	DOWN	DOWN	NO	NO	0	2
ENSG00000211787	TRAV8-3	Trav9-4	-2.1176	-1.1717	0.1332	0.0000	0.0000	0.0000	0.7897	1.0000	6.7122	10.6073	0.1025	0.0000	DOWN	DOWN	NO	NO	0	2
ENSG00000276953	AC244196.5	Trbv15	-2.0749	-1.4545	0.1300	0.8821	0.0000	0.0000	0.5285	0.6346	6.3840	14.5884	0.2770	0.1975	DOWN	DOWN	NO	NO	0	2
ENSG00000081059	TCF7	Tcf7	-1.1953	-1.1621	0.1270	-0.1205	0.0001	0.0000	0.1818	0.3445	3.8687	15.5045	0.7404	0.4628	DOWN	DOWN	NO	NO	0	2
ENSG00000116251	RPL22	Rpl22	-1.0498	-1.4186	0.1258	-0.1591	0.0000	0.0000	0.0418	0.0129	7.8601	54.6778	1.3787	1.8891	DOWN	DOWN	NO	NO	0	2
ENSG00000178562	CD28	Cd28	-1.4702	-1.2191	0.1250	0.3225	0.0000	0.0000	0.3843	0.4856	10.1624	36.5045	0.4154	0.3137	DOWN	DOWN	NO	NO	0	2
ENSG00000196381	ZNF781	Zfp84	-3.3805	-1.1745	0.1200	-0.1962	0.0000	0.0000	0.1213	0.0329	13.5575	27.0057	0.9160	1.4832	DOWN	DOWN	NO	NO	0	2
ENSG00000226660	TRBV2	Trbv3	-1.8079	-1.0884	0.1160	0.1021	0.0000	0.0000	0.6143	0.9586	7.1308	10.6882	0.2116	0.0184	DOWN	DOWN	NO	NO	0	2
ENSG00000174444	RPL4	Rpl4	-1.0143	-1.4329	0.1144	-0.1895	0.0000	0.0000	0.1149	0.0128	7.2487	57.8697	0.9395	1.8938	DOWN	DOWN	NO	NO	0	2
ENSG00000237702	TRBV3-1	Trbv4	-2.2055	-1.4804	0.1128	-1.2088	0.0000	0.0000	0.6752	0.4875	10.7471	15.9101	0.1705	0.3120	DOWN	DOWN	NO	NO	0	2
ENSG00000211799	TRAV19	Trav16n	-1.5751	-1.2800	0.1121	1.9443	0.0000	0.0000	0.7680	0.4243	5.1349	18.4763	0.1147	0.3723	DOWN	DOWN	NO	NO	0	2
ENSG00000171476	HOPX	Hopx	-2.1473	-1.4083	0.1114	0.1125	0.0000	0.0000	0.3806	0.2824	11.4597	25.4202	0.4195	0.5491	DOWN	DOWN	NO	NO	0	2
ENSG00000165209	STRBP	Strbp	-1.0497	-1.1018	0.1073	-0.1139	0.0000	0.0000	0.2307	0.3270	10.8239	31.5622	0.6370	0.4855	DOWN	DOWN	NO	NO	0	2
ENSG00000172116	CD8B	Cd8b1	-1.4611	-1.3602	0.1070	1.4804	0.0000	0.0000	0.3790	0.0568	6.3958	21.5391	0.4214	1.2459	DOWN	DOWN	NO	NO	0	2
ENSG00000092200	RPGRIP1	Rpgrip1	-1.8278	-1.3360	0.1067	-0.4669	0.0000	0.0000	0.5320	0.2809	8.4989	22.3958	0.2741	0.5514	DOWN	DOWN	NO	NO	0	2
ENSG00000091181	IL5RA	Il5ra	-3.4698	-2.2974	0.1004	0.6323	0.0000	0.0000	0.4990	0.2359	13.6576	17.8447	0.3019	0.6272	DOWN	DOWN	NO	NO	0	2
ENSG00000153064	BANK1	Bank1	-1.2281	-1.2138	0.0819	-0.5523	0.0000	0.0000	0.2451	0.0522	9.3696	24.7773	0.6106	1.2822	DOWN	DOWN	NO	NO	0	2
ENSG00000118420	UBE3D	Ube2cbp	-1.0452	-1.1292	0.0766	-0.3379	0.0000	0.0000	0.7919	0.1560	7.4841	35.0325	0.1013	0.8069	DOWN	DOWN	NO	NO	0	2
ENSG00000211599	IGKV5-2	Igkv17-121	-1.6824	-1.2234	0.0748	0.1086	0.0005	0.0000	0.8676	0.9648	3.3411	8.0264	0.0617	0.0156	DOWN	DOWN	NO	NO	0	2
ENSG00000211793	TRAV9-2	Trav6-6	-2.3265	-1.2447	0.0745	0.0000	0.0000	0.0000	0.8887	1.0000	9.7696	13.7932	0.0513	0.0000	DOWN	DOWN	NO	NO	0	2
ENSG00000276405	AC244196.3	Trbv12-2	-2.1545	-1.5930	0.0715	-1.0802	0.0000	0.0000	0.8074	0.4161	6.8729	9.3747	0.0929	0.3808	DOWN	DOWN	NO	NO	0	2
ENSG00000114942	EEF1B2	Eef1b2	-1.1654	-1.3834	0.0615	-0.3873	0.0000	0.0000	0.3101	0.0000	7.0292	42.8962	0.5085	5.7282	DOWN	DOWN	NO	NO	0	2
ENSG00000276819	AC244472.4	Trbv17	-1.8102	-1.2044	0.0547	0.8822	0.0000	0.0000	0.8964	0.7238	5.9318	8.7905	0.0475	0.1404	DOWN	DOWN	NO	NO	0	2
ENSG00000152969	JAKMIP1	Jakmip1	-2.0710	-1.0233	0.0544	0.2685	0.0000	0.0000	0.5848	0.6846	9.2984	7.2823	0.2330	0.1646	DOWN	DOWN	NO	NO	0	2
ENSG00000152465	NMT2	Nmt2	-1.6260	-1.1136	0.0543	-0.1309	0.0000	0.0000	0.7405	0.4547	12.0022	27.4609	0.1305	0.3422	DOWN	DOWN	NO	NO	0	2
ENSG00000166068	SPRED1	Spred1	-2.2958	-1.1132	0.0460	0.2951	0.0000	0.0000	0.5642	0.0004	15.7447	22.1986	0.2485	3.4498	DOWN	DOWN	NO	NO	0	2
